,group,round,id_in_group,split,high,guess,win,turker,strategy
340,11,6,1,1,1,2.0,1,A1BEM74QY3Y2GT,
341,11,6,2,1,1,2.0,1,ASV53ZC7ILJ7B,
342,11,6,3,1,1,2.0,1,A2HGZOXZ36XKRI,
343,11,6,4,1,1,0.0,1,A1T3ROSW2LC4FG,
344,11,7,1,1,1,1.0,1,A1BEM74QY3Y2GT,
345,11,7,2,1,1,1.0,1,ASV53ZC7ILJ7B,
346,11,7,3,1,1,1.0,1,A2HGZOXZ36XKRI,
347,11,7,4,1,1,1.0,1,A1T3ROSW2LC4FG,
348,11,8,1,1,1,1.0,1,A1BEM74QY3Y2GT,"First, the guess should be between 1-67, for the first round I guessed that the average would be in the middle of that, about 34.  2/3 of that is about 20.  After that I progressively went lower, figuring that the other players would also go lower to correct themselves."
349,11,8,2,1,1,1.0,1,ASV53ZC7ILJ7B,The numbers kept going down so I kept lowering my number to match the trend
350,11,8,3,1,1,1.0,1,A2HGZOXZ36XKRI,I tried to get lower but it took a bit to get the downward curve right
351,11,8,4,1,1,1.0,1,A1T3ROSW2LC4FG,I averaged down until I stared winning and then held my answers there. I figured most players would do the same once they found the sweet spot. 
352,12,1,1,1,1,65.0,0,A22QD6M0A2C77C,
353,12,1,2,1,1,45.0,0,A1YK5BEUKS3S1W,
354,12,1,3,1,1,50.0,0,A3MXI2O3JZ0TZH,
355,12,1,4,1,1,22.0,1,AOPZSU77ONJXS,
356,12,2,1,1,1,43.0,0,A22QD6M0A2C77C,
357,12,2,2,1,1,20.0,1,A1YK5BEUKS3S1W,
358,12,2,3,1,1,20.0,1,A3MXI2O3JZ0TZH,
359,12,2,4,1,1,32.0,0,AOPZSU77ONJXS,
360,12,3,1,1,1,31.0,0,A22QD6M0A2C77C,
361,12,3,2,1,1,30.0,0,A1YK5BEUKS3S1W,
362,12,3,3,1,1,30.0,0,A3MXI2O3JZ0TZH,
363,12,3,4,1,1,19.0,1,AOPZSU77ONJXS,
364,12,4,1,1,1,20.0,1,A22QD6M0A2C77C,
365,12,4,2,1,1,25.0,0,A1YK5BEUKS3S1W,
366,12,4,3,1,1,50.0,0,A3MXI2O3JZ0TZH,
367,12,4,4,1,1,21.0,0,AOPZSU77ONJXS,
368,12,5,1,1,1,20.0,0,A22QD6M0A2C77C,
369,12,5,2,1,1,50.0,0,A1YK5BEUKS3S1W,
370,12,5,3,1,1,25.0,0,A3MXI2O3JZ0TZH,
371,12,5,4,1,1,19.0,1,AOPZSU77ONJXS,
372,12,6,1,1,1,18.0,1,A22QD6M0A2C77C,
373,12,6,2,1,1,10.0,0,A1YK5BEUKS3S1W,
374,12,6,3,1,1,60.0,0,A3MXI2O3JZ0TZH,
375,12,6,4,1,1,19.0,0,AOPZSU77ONJXS,
376,12,7,1,1,1,75.0,0,A22QD6M0A2C77C,
377,12,7,2,1,1,20.0,1,A1YK5BEUKS3S1W,
378,12,7,3,1,1,16.0,0,A3MXI2O3JZ0TZH,
379,12,7,4,1,1,17.0,0,AOPZSU77ONJXS,
380,12,8,1,1,1,18.0,1,A22QD6M0A2C77C,I just tried to be close to what was the average the last round.
381,12,8,2,1,1,20.0,0,A1YK5BEUKS3S1W,Just a mind game 
382,12,8,3,1,1,22.0,0,A3MXI2O3JZ0TZH,Going with my intuition.
