size,group,round,id_in_group,split,high,guess,win,payoff,id,strategy
GoR_2,24,8,2,1,0,60.0,1,1.8,bqqd3rsu,"I started with a pretty high number, than a medium number than a low number. I assumed the numbers were not random, so it seemed like they would move like I did. Since it seemed to work I kept doing it that way."
GoR_2,25,1,1,0,0,86.0,0,0.67,41q2sz6a,
GoR_2,25,1,2,0,0,50.0,1,1.98,7z7k50bc,
GoR_2,25,2,1,0,0,37.0,1,0.67,41q2sz6a,
GoR_2,25,2,2,0,0,40.0,0,1.98,7z7k50bc,
GoR_2,25,3,1,0,0,55.0,0,0.67,41q2sz6a,
GoR_2,25,3,2,0,0,45.0,1,1.98,7z7k50bc,
GoR_2,25,4,1,0,0,75.0,0,0.67,41q2sz6a,
GoR_2,25,4,2,0,0,26.0,1,1.98,7z7k50bc,
GoR_2,25,5,1,0,0,30.0,1,0.67,41q2sz6a,
GoR_2,25,5,2,0,0,32.0,0,1.98,7z7k50bc,
GoR_2,25,6,1,0,0,60.0,0,0.67,41q2sz6a,
GoR_2,25,6,2,0,0,30.0,1,1.98,7z7k50bc,
GoR_2,25,7,1,0,0,32.0,0,0.67,41q2sz6a,
GoR_2,25,7,2,0,0,25.0,1,1.98,7z7k50bc,
GoR_2,25,8,1,0,0,32.0,0,0.67,41q2sz6a,Tried to see if there was a pattern. 
GoR_2,25,8,2,0,0,22.0,1,1.98,7z7k50bc,I was kind of looking to input numbers between the average numbers chosen
GoR_2,26,1,1,0,0,35.0,1,0.75,ddrcm8fk,
GoR_2,26,1,2,0,0,40.0,0,1.1,jq3fzmkv,
GoR_2,26,2,1,0,0,58.0,0,0.75,ddrcm8fk,
GoR_2,26,2,2,0,0,20.0,1,1.1,jq3fzmkv,
GoR_2,26,3,1,0,0,60.0,0,0.75,ddrcm8fk,
GoR_2,26,3,2,0,0,30.0,1,1.1,jq3fzmkv,
GoR_2,26,4,1,0,0,40.0,0,0.75,ddrcm8fk,
GoR_2,26,4,2,0,0,30.0,1,1.1,jq3fzmkv,
GoR_2,26,5,1,0,0,23.0,1,0.75,ddrcm8fk,
GoR_2,26,5,2,0,0,35.0,0,1.1,jq3fzmkv,
GoR_2,26,6,1,0,0,25.0,0,0.75,ddrcm8fk,
GoR_2,26,6,2,0,0,20.0,1,1.1,jq3fzmkv,
GoR_2,26,7,1,0,0,17.0,1,0.75,ddrcm8fk,
GoR_2,26,7,2,0,0,18.0,0,1.1,jq3fzmkv,
GoR_2,26,8,1,0,0,13.0,0,0.75,ddrcm8fk,Started with higher numbers to push the average up then used lower numbers to align with the average. 
GoR_2,26,8,2,0,0,10.0,1,1.1,jq3fzmkv,I tried to guess lower than what I thought it would be
GoR_2,27,1,1,0,0,80.0,0,0.14,6ggl8hbq,
GoR_2,27,1,2,0,0,7.0,1,0.27,ad1pffy2,
GoR_2,27,2,1,0,0,40.0,0,0.14,6ggl8hbq,
GoR_2,27,2,2,0,0,6.0,1,0.27,ad1pffy2,
GoR_2,27,3,1,0,0,10.0,0,0.14,6ggl8hbq,
GoR_2,27,3,2,0,0,5.0,1,0.27,ad1pffy2,
GoR_2,27,4,1,0,0,4.0,1,0.14,6ggl8hbq,
GoR_2,27,4,2,0,0,10.0,0,0.27,ad1pffy2,
GoR_2,27,5,1,0,0,10.0,0,0.14,6ggl8hbq,
GoR_2,27,5,2,0,0,4.0,1,0.27,ad1pffy2,
GoR_2,27,6,1,0,0,20.0,0,0.14,6ggl8hbq,
GoR_2,27,6,2,0,0,5.0,1,0.27,ad1pffy2,
GoR_2,27,7,1,0,0,5.0,1,0.14,6ggl8hbq,
GoR_2,27,7,2,0,0,10.0,0,0.27,ad1pffy2,
GoR_2,27,8,1,0,0,5.0,1,0.14,6ggl8hbq,"I didn't use any particular strategy, I was hoping the other person would put in higher amounts to make the average higher so one of us would get higher bonuses, but that didn't happen. so i started doing smaller numbers to be closer to the average the other person was making,"
GoR_2,27,8,2,0,0,10.0,0,0.27,ad1pffy2,NICE
GoR_2,28,1,1,1,0,7.0,1,0.15,eeu9o3fy,
GoR_2,28,1,2,1,0,95.0,0,0.34,yczqmvsp,
GoR_2,28,2,1,1,0,47.0,0,0.15,eeu9o3fy,
GoR_2,28,2,2,1,0,8.0,1,0.34,yczqmvsp,
GoR_2,28,3,1,1,0,3.0,1,0.15,eeu9o3fy,
GoR_2,28,3,2,1,0,9.0,0,0.34,yczqmvsp,
GoR_2,28,4,1,1,0,5.0,1,0.15,eeu9o3fy,
GoR_2,28,4,2,1,0,11.0,0,0.34,yczqmvsp,
GoR_2,28,5,1,1,0,9.0,0,0.15,eeu9o3fy,
GoR_2,28,5,2,1,0,7.0,1,0.34,yczqmvsp,
GoR_2,28,6,1,1,0,8.0,0,0.15,eeu9o3fy,
GoR_2,28,6,2,1,0,3.0,1,0.34,yczqmvsp,
GoR_2,28,7,1,1,0,55.0,0,0.15,eeu9o3fy,
GoR_2,28,7,2,1,0,8.0,1,0.34,yczqmvsp,
GoR_2,28,8,1,1,0,11.0,0,0.15,eeu9o3fy,Choose my lucky number
GoR_2,28,8,2,1,0,8.0,1,0.34,yczqmvsp,CHOOSING BELOW 10
GoR_2,31,1,1,0,0,20.0,1,0.71,lg0s2w7v,
GoR_2,31,1,2,0,0,40.0,0,0.25,ruuhwocx,
GoR_2,31,2,1,0,0,20.0,1,0.71,lg0s2w7v,
GoR_2,31,2,2,0,0,40.0,0,0.25,ruuhwocx,
GoR_2,31,3,1,0,0,20.0,1,0.71,lg0s2w7v,
GoR_2,31,3,2,0,0,20.0,1,0.25,ruuhwocx,
GoR_2,31,4,1,0,0,10.0,1,0.71,lg0s2w7v,
GoR_2,31,4,2,0,0,20.0,0,0.25,ruuhwocx,
GoR_2,31,5,1,0,0,20.0,0,0.71,lg0s2w7v,
GoR_2,31,5,2,0,0,5.0,1,0.25,ruuhwocx,
GoR_2,31,6,1,0,0,1.0,1,0.71,lg0s2w7v,
GoR_2,31,6,2,0,0,8.0,0,0.25,ruuhwocx,
GoR_2,31,7,1,0,0,20.0,0,0.71,lg0s2w7v,
GoR_2,31,7,2,0,0,0.0,1,0.25,ruuhwocx,
GoR_2,31,8,1,0,0,0.0,1,0.71,lg0s2w7v,I'm just entered starting 20 and equal and less than 20 by guess
GoR_2,31,8,2,0,0,0.0,1,0.25,ruuhwocx,Most of the time who choose lower wins the game. So I tried to reduce the count after loosing each round
GoR_2,32,1,1,0,1,100.0,0,0.3,mori6ic1,
GoR_2,32,1,2,0,1,40.0,1,1.93,svon9ryl,
GoR_2,32,2,1,0,1,100.0,0,0.3,mori6ic1,
GoR_2,32,2,2,0,1,38.0,1,1.93,svon9ryl,
GoR_2,32,3,1,0,1,50.0,0,0.3,mori6ic1,
GoR_2,32,3,2,0,1,47.0,1,1.93,svon9ryl,
GoR_2,32,4,1,0,1,46.0,0,0.3,mori6ic1,
GoR_2,32,4,2,0,1,36.0,1,1.93,svon9ryl,
GoR_2,32,5,1,0,1,42.0,0,0.3,mori6ic1,
GoR_2,32,5,2,0,1,18.0,1,1.93,svon9ryl,
GoR_2,32,6,1,0,1,20.0,1,0.3,mori6ic1,
GoR_2,32,6,2,0,1,30.0,0,1.93,svon9ryl,
GoR_2,32,7,1,0,1,22.0,0,0.3,mori6ic1,
GoR_2,32,7,2,0,1,14.0,1,1.93,svon9ryl,
GoR_2,32,8,1,0,1,10.0,1,0.3,mori6ic1,"I originally planned to guess 100 each time, assuming everyone would want to maximize their profits by all guessing 100. After 2 rounds of doing this, I just kept guessing lower and lower, as it appears that's what others were doing as well."
GoR_2,32,8,2,0,1,100.0,0,1.93,svon9ryl,"I was just trying to stay in the low-mid range, except for the last time went I 100."
GoR_2,33,1,1,1,0,57.0,0,1.34,wz7kmi3p,
GoR_2,33,1,2,1,0,45.0,1,1.74,wb6bjt5b,
GoR_2,33,2,1,1,0,44.0,0,1.34,wz7kmi3p,
GoR_2,33,2,2,1,0,36.0,1,1.74,wb6bjt5b,
GoR_2,33,3,1,1,0,44.0,0,1.34,wz7kmi3p,
GoR_2,33,3,2,1,0,30.0,1,1.74,wb6bjt5b,
GoR_2,33,4,1,1,0,25.0,1,1.34,wz7kmi3p,
GoR_2,33,4,2,1,0,25.0,1,1.74,wb6bjt5b,
GoR_2,33,5,1,1,0,77.0,0,1.34,wz7kmi3p,
GoR_2,33,5,2,1,0,50.0,1,1.74,wb6bjt5b,
GoR_2,33,6,1,1,0,50.0,1,1.34,wz7kmi3p,
GoR_2,33,6,2,1,0,65.0,0,1.74,wb6bjt5b,
GoR_2,33,7,1,1,0,44.0,1,1.34,wz7kmi3p,
GoR_2,33,7,2,1,0,45.0,0,1.74,wb6bjt5b,
GoR_2,33,8,1,1,0,27.0,1,1.34,wz7kmi3p,random
GoR_2,33,8,2,1,0,30.0,0,1.74,wb6bjt5b,I just guessed a umber
GoR_2,35,1,1,1,1,50.0,1,0.88,p5i2iji2,
GoR_2,35,1,2,1,1,69.0,0,1.13,h7baevuf,
GoR_2,35,2,1,1,1,50.0,0,0.88,p5i2iji2,
GoR_2,35,2,2,1,1,44.0,1,1.13,h7baevuf,
GoR_2,35,3,1,1,1,55.0,0,0.88,p5i2iji2,
GoR_2,35,3,2,1,1,52.0,1,1.13,h7baevuf,
GoR_2,35,4,1,1,1,55.0,1,0.88,p5i2iji2,
GoR_2,35,4,2,1,1,55.0,1,1.13,h7baevuf,
GoR_2,35,5,1,1,1,55.0,0,0.88,p5i2iji2,
GoR_2,35,5,2,1,1,52.0,1,1.13,h7baevuf,
GoR_2,35,6,1,1,1,45.0,1,0.88,p5i2iji2,
GoR_2,35,6,2,1,1,52.0,0,1.13,h7baevuf,
GoR_2,35,7,1,1,1,47.0,1,0.88,p5i2iji2,
GoR_2,35,7,2,1,1,49.0,0,1.13,h7baevuf,
GoR_2,35,8,1,1,1,45.0,0,0.88,p5i2iji2,started at 50 and adjusted slightly according to average each time
GoR_2,35,8,2,1,1,44.0,1,1.13,h7baevuf,Stay somewhere in the middle of the range for the most part. 
GoR_2,36,1,1,0,1,40.0,1,0.54,jquh17qx,
GoR_2,36,1,2,0,1,50.0,0,0.5,1nz0dcjd,
GoR_2,36,2,1,0,1,35.0,0,0.54,jquh17qx,
GoR_2,36,2,2,0,1,25.0,1,0.5,1nz0dcjd,
GoR_2,36,3,1,0,1,10.0,1,0.54,jquh17qx,
GoR_2,36,3,2,0,1,25.0,0,0.5,1nz0dcjd,
GoR_2,36,4,1,0,1,70.0,0,0.54,jquh17qx,
GoR_2,36,4,2,0,1,10.0,1,0.5,1nz0dcjd,
GoR_2,36,5,1,0,1,40.0,0,0.54,jquh17qx,
GoR_2,36,5,2,0,1,5.0,1,0.5,1nz0dcjd,
GoR_2,36,6,1,0,1,60.0,0,0.54,jquh17qx,
GoR_2,36,6,2,0,1,5.0,1,0.5,1nz0dcjd,
GoR_2,36,7,1,0,1,23.0,0,0.54,jquh17qx,
GoR_2,36,7,2,0,1,5.0,1,0.5,1nz0dcjd,
GoR_2,36,8,1,0,1,4.0,1,0.54,jquh17qx,"Rounds 1-3 were basically exploratory, in which I tried to see how my opponent would react. In rounds 4-7, I entered high values to see if I could prompt my opponent to enter higher values and get the average up so the payoffs would be larger if I won. By round 8, it was obvious my opponent was going to stick with low guesses/payoffs, so I decided to undercut him/her on the final round."
GoR_2,36,8,2,0,1,5.0,0,0.5,1nz0dcjd,I kept going lower until I found a winning number then I kept using it. Funny it seems that I won more rounds than I am receiving a bonus for.
GoR_2,40,1,1,1,1,56.0,0,0.0,t5xedv19,
GoR_2,40,1,2,1,1,40.0,1,2.0,n7ujxegn,
GoR_2,40,2,1,1,1,52.0,0,0.0,t5xedv19,
GoR_2,40,2,2,1,1,29.0,1,2.0,n7ujxegn,
