size,group,round,id_in_group,split,high,guess,win,turker,strategy
GoR_2,74,7,2,0,0,18.0,0,APGX2WZ59OWDN,
GoR_2,74,8,1,0,0,13.0,0,A1NSHNH3MNFRGW,Started with higher numbers to push the average up then used lower numbers to align with the average. 
GoR_2,74,8,2,0,0,10.0,1,APGX2WZ59OWDN,I tried to guess lower than what I thought it would be
GoR_2,76,1,1,0,1,50.0,0,A2RUHO7I7Y4XFA,
GoR_2,76,1,2,0,1,20.0,1,AKHTVKAQY4YUS,
GoR_2,76,2,1,0,1,25.0,0,A2RUHO7I7Y4XFA,
GoR_2,76,2,2,0,1,20.0,1,AKHTVKAQY4YUS,
GoR_2,76,3,1,0,1,55.0,0,A2RUHO7I7Y4XFA,
GoR_2,76,3,2,0,1,15.0,1,AKHTVKAQY4YUS,
GoR_2,76,4,1,0,1,75.0,0,A2RUHO7I7Y4XFA,
GoR_2,76,4,2,0,1,25.0,1,AKHTVKAQY4YUS,
GoR_2,76,5,1,0,1,35.0,1,A2RUHO7I7Y4XFA,
GoR_2,76,5,2,0,1,35.0,1,AKHTVKAQY4YUS,
GoR_2,76,6,1,0,1,37.0,0,A2RUHO7I7Y4XFA,
GoR_2,76,6,2,0,1,30.0,1,AKHTVKAQY4YUS,
GoR_2,76,7,1,0,1,88.0,0,A2RUHO7I7Y4XFA,
GoR_2,76,7,2,0,1,25.0,1,AKHTVKAQY4YUS,
GoR_2,76,8,1,0,1,77.0,0,A2RUHO7I7Y4XFA,I picked different numbers
GoR_2,76,8,2,0,1,30.0,1,AKHTVKAQY4YUS,Trying to play conservatively to ensure my number was lower than the opponent since there were only two of us.  I'd rather win some than none.
GoR_2,78,1,1,0,0,20.0,1,A20FYCXV508HM9,
GoR_2,78,1,2,0,0,40.0,0,AV9KCJ8RNIWRJ,
GoR_2,78,2,1,0,0,20.0,1,A20FYCXV508HM9,
GoR_2,78,2,2,0,0,40.0,0,AV9KCJ8RNIWRJ,
GoR_2,78,3,1,0,0,20.0,1,A20FYCXV508HM9,
GoR_2,78,3,2,0,0,20.0,1,AV9KCJ8RNIWRJ,
GoR_2,78,4,1,0,0,10.0,1,A20FYCXV508HM9,
GoR_2,78,4,2,0,0,20.0,0,AV9KCJ8RNIWRJ,
GoR_2,78,5,1,0,0,20.0,0,A20FYCXV508HM9,
GoR_2,78,5,2,0,0,5.0,1,AV9KCJ8RNIWRJ,
GoR_2,78,6,1,0,0,1.0,1,A20FYCXV508HM9,
